supplier_id,supplier_name,product_id,lead_time,supplier_rating
SUP237,"Duran, Mayo and Brown",P298,16,4.5
SUP238,"Jones, Wilkinson and Tran",P2814,12,3.5
SUP239,Bennett-Anderson,P353,14,2.7
SUP240,Robinson-Avery,P3042,20,4.6
SUP241,Moore Ltd,P8869,5,3.1
SUP242,"Dawson, Thomas and Waller",P857,5,3.8
SUP243,Burton PLC,P7118,9,3.2
SUP244,Wilson-Manning,P8350,6,2.8
SUP245,"Grant, Clark and Cox",P4865,5,3.2
SUP246,Miles Ltd,P79,19,3.8
SUP247,Simmons Group,P9718,16,4.7
SUP248,Love Ltd,P2753,8,4.1
SUP249,"Winters, Rice and Adams",P8322,3,4.2
SUP250,Jones PLC,P2933,4,4.0
SUP251,"Zimmerman, Wright and Briggs",P1883,17,3.2
SUP252,Day LLC,P889,15,4.9
SUP253,"Lee, Garcia and Johnston",P2870,12,3.6
SUP254,Fuller Group,P545,5,3.9
SUP255,Fry Ltd,P6423,9,2.7
SUP256,"Washington, Salazar and Lewis",P6992,12,4.6
SUP257,Cooper-Fletcher,P6871,7,2.7
SUP258,"Holmes, Williams and Guerrero",P8294,3,4.4
SUP259,Hickman Ltd,P6127,2,4.4
SUP260,Mooney Group,P5842,14,5.0
SUP261,Middleton Group,P5285,3,3.1
SUP262,"Buchanan, Lambert and Walton",P6635,10,2.6
SUP263,Ramirez Ltd,P5949,6,2.5
SUP264,Smith-Johnson,P9949,17,4.7
SUP265,"Mitchell, Sherman and Perez",P1623,3,3.5
SUP266,Johnson PLC,P4706,20,2.6
SUP267,Pena-Spencer,P4362,12,3.3
SUP268,Farrell Group,P9859,17,4.9
SUP269,"Clarke, Larson and Long",P3114,13,3.7
SUP270,"Stafford, Carter and Reynolds",P5279,18,3.4
SUP271,Williamson-Bell,P8612,8,2.8
SUP272,Everett-Gilbert,P8551,2,2.5
SUP273,Banks Inc,P5197,14,3.1
SUP274,Carlson PLC,P5413,12,3.9
SUP275,Miles PLC,P6574,19,4.6
SUP276,Larson and Sons,P9042,17,4.1
SUP277,Watkins LLC,P5123,20,3.1
SUP278,"Morgan, Anthony and Garcia",P5541,9,2.8
SUP279,Moore-Walker,P1031,16,2.9
SUP280,Smith-Logan,P6216,6,4.9
SUP281,Nichols Group,P213,9,4.0
SUP282,Fletcher Ltd,P6820,6,4.0
SUP283,"Sanford, Bailey and Johnson",P1928,11,3.7
SUP284,West LLC,P2103,8,2.6
SUP285,"Thomas, Warren and Sanders",P711,15,4.9
SUP286,Hart-Smith,P2203,13,3.6
SUP287,Elliott-Clark,P540,13,3.8
SUP288,"Riggs, Hawkins and Clements",P9129,17,4.9
SUP289,"Thompson, Schmitt and Brown",P968,12,3.5
SUP290,"Lopez, Robinson and Cherry",P9342,14,4.2
SUP291,Nelson and Sons,P431,5,3.0
SUP292,Martin-Myers,P3949,18,3.8
SUP293,Smith Inc,P7078,14,4.4
SUP294,Johnston-Mullen,P3195,20,3.0
SUP295,Cummings-Brown,P1267,16,3.9
SUP296,Cox Ltd,P505,15,4.2
SUP297,Trujillo PLC,P55,2,3.1
SUP298,"Rocha, Baker and Livingston",P8072,6,4.0
SUP299,Edwards and Sons,P633,4,3.7
SUP300,"Henry, Silva and Dawson",P3900,14,2.6
SUP301,"Lyons, Hale and Strickland",P5627,19,2.6
SUP302,"Simpson, Rodgers and Robinson",P4468,20,3.0
SUP303,Smith-Miller,P9584,7,3.9
SUP304,"Gutierrez, Kent and Stewart",P4191,14,3.5
SUP305,"Ross, Pham and Grimes",P7357,5,4.6
SUP306,"Garcia, Huang and Burns",P957,20,4.7
SUP307,"Alvarez, Smith and Cole",P6347,17,4.5
SUP308,"Robinson, Gardner and Smith",P2603,10,2.6
SUP309,Gutierrez-Schaefer,P8560,6,4.4
SUP310,"Webster, Welch and Harrison",P3430,11,4.3
SUP311,Gregory Ltd,P5287,18,4.2
SUP312,"Smith, Craig and Ward",P8727,18,2.5
SUP313,Bryant-Walls,P6368,17,4.6
SUP314,Brown-Martin,P3591,3,4.4
SUP315,"Kline, Parsons and Williams",P4674,13,3.6
SUP316,Torres-Barnes,P3855,12,5.0
SUP317,Roberts LLC,P2224,10,3.3
SUP318,"Thompson, Davis and Banks",P3362,6,2.8
SUP319,Smith-Ramirez,P8288,16,3.0
SUP320,"Kelley, Holder and Price",P9582,11,4.8
SUP321,Jensen Inc,P6660,8,4.4
SUP322,Howard LLC,P8706,16,3.8
SUP323,Sharp PLC,P9579,13,4.7
SUP324,"Lamb, Miller and Floyd",P3574,10,5.0
SUP325,Vargas Group,P4558,6,4.7
SUP326,Wilson-Keith,P2106,19,4.4
SUP327,Cruz-Mason,P4804,2,2.9
SUP328,"James, Pena and Hammond",P4459,3,4.2
SUP329,"Clark, Moody and Sullivan",P1111,5,4.9
SUP330,"Richardson, Mitchell and White",P7050,5,2.8
SUP331,Thompson-Jones,P160,6,2.8
SUP332,"Barrett, Sanchez and Wilson",P5179,17,2.9
SUP333,Maxwell-Wilson,P4667,17,3.3
SUP334,Jefferson Ltd,P7265,7,4.5
SUP335,Obrien-Arnold,P9206,9,4.0
SUP336,Black-Larsen,P8062,15,4.9
SUP337,Cardenas-Cowan,P8701,12,4.9
SUP338,"Lewis, Jones and Miller",P1011,12,3.4
SUP339,Brown-Leon,P7853,5,3.7
SUP340,Perkins LLC,P9853,6,3.2
SUP341,Baldwin PLC,P2906,10,4.1
SUP342,Perkins PLC,P8397,11,3.2
SUP343,"Mcdonald, Parsons and Hawkins",P6710,17,4.8
SUP344,"Miller, Sanders and Green",P2023,19,3.6
SUP345,Thompson and Sons,P4184,14,4.8
SUP346,Barnes LLC,P9289,13,4.8
SUP347,Simpson-Terrell,P51,18,3.2
SUP348,Mcmahon LLC,P2474,15,3.1
SUP349,Johnson Ltd,P3541,8,2.7
SUP350,"Smith, Sellers and Tucker",P4731,15,2.7
SUP351,Jones and Sons,P5312,7,3.7
SUP352,"Anderson, Serrano and Diaz",P7473,6,4.3
SUP353,"Branch, West and Welch",P7430,6,2.5
SUP354,"Evans, David and Waller",P1746,8,4.1
SUP355,Smith LLC,P3124,6,3.1
SUP356,Brooks-Hernandez,P992,20,4.7
SUP357,Williams-Perry,P2416,14,4.6
SUP358,"Thompson, Rangel and Vasquez",P6344,18,2.7
SUP359,Jenkins Inc,P2767,10,3.9
SUP360,Robertson Ltd,P4469,9,3.9
SUP361,Cook-Kane,P2251,4,4.1
SUP362,"Williams, Wilson and Roberson",P5911,6,2.9
SUP363,Romero-Lee,P3470,8,4.9
SUP364,"White, Ford and Maldonado",P2944,20,3.5
SUP365,"York, Johnson and Stone",P2289,11,3.1
SUP366,Valencia Ltd,P5122,11,3.4
SUP367,Ayala-Parker,P5924,10,4.5
SUP368,Wong-Allen,P2469,19,4.4
SUP369,"George, Campbell and Griffith",P7353,12,4.3
SUP370,Vazquez PLC,P1195,9,2.6
SUP371,Richardson-Hall,P8043,10,3.9
SUP372,Rios-Wilson,P7843,11,2.6
SUP373,Smith Inc,P1988,8,4.6
SUP374,Garcia-Martinez,P6376,15,3.6
SUP375,Mclaughlin-Adams,P8161,12,4.6
SUP376,Hicks and Sons,P3257,19,3.2
SUP377,Ramirez-Roberts,P3665,11,4.8
SUP378,"Mcpherson, Warren and Duncan",P9913,3,4.6
SUP379,Green Ltd,P1349,20,4.9
SUP380,"Snyder, Wilcox and Schmidt",P4764,11,3.1
SUP381,Fleming-Mcfarland,P6795,10,4.4
SUP382,Eaton-Howell,P4017,7,3.5
SUP383,"Cervantes, Mendez and Brown",P931,20,3.6
SUP384,"Moore, Chase and Henry",P9533,18,2.6
SUP385,"Anthony, Atkins and Hughes",P8738,13,3.2
SUP386,"Hall, Ramsey and Soto",P536,10,3.7
SUP387,Johnson Inc,P912,5,3.5
SUP388,"Neal, Calderon and Hernandez",P9574,17,4.2
SUP389,"Newman, Mayo and James",P5166,17,2.7
SUP390,"Silva, Acosta and Smith",P3898,8,3.4
SUP391,"Tate, Potter and Snyder",P7956,8,4.6
SUP392,"Cruz, Hernandez and Gutierrez",P1770,4,4.0
SUP393,Smith-Thompson,P286,9,2.6
SUP394,Myers and Sons,P3673,15,4.0
SUP395,Gonzalez Ltd,P6350,7,3.4
SUP396,Savage-Steele,P6303,6,4.0
SUP397,Diaz-Simmons,P4111,10,4.2
SUP398,Garcia-Espinoza,P6786,15,3.4
SUP399,"Walker, Dominguez and Freeman",P9385,18,3.7
SUP400,Mueller PLC,P6632,19,4.2
SUP401,Cannon PLC,P5522,20,3.2
SUP402,Pierce Inc,P6136,3,4.2
SUP403,"Stevens, Castro and Gomez",P2129,16,3.9
SUP404,"Cobb, Gonzalez and Stevenson",P2513,4,3.7
SUP405,Patton Inc,P9736,3,2.8
SUP406,"Brown, Jones and Curry",P9498,17,4.3
SUP407,Sanders PLC,P5489,16,4.4
SUP408,"Gray, Perez and Lee",P9110,11,4.0
SUP409,Cabrera Ltd,P815,18,4.8
SUP410,Hughes LLC,P4838,2,3.1
SUP411,King and Sons,P8687,2,3.4
SUP412,"Mejia, Williams and Bell",P7542,11,4.6
SUP413,"Garcia, Stevens and Marsh",P2892,16,5.0
SUP414,Wagner Inc,P6447,10,3.8
SUP415,"Jackson, Zamora and Strickland",P9825,3,4.1
SUP416,Ho-Clarke,P4955,12,4.9
SUP417,"Dunn, Castillo and Hogan",P2600,19,3.0
SUP418,Jackson-Roberts,P6384,16,2.7
SUP419,"Keller, Foley and Johnson",P7605,16,3.8
SUP420,"Todd, Kelly and Webb",P9371,9,2.6
SUP421,Middleton LLC,P5984,8,3.7
SUP422,"Flores, Smith and Dudley",P7683,18,2.8
SUP423,"Smith, Cruz and Alexander",P6618,13,3.9
SUP424,Reed PLC,P6716,5,4.8
SUP425,Espinoza-Reyes,P183,10,2.8
SUP426,Jensen-Green,P4550,15,3.2
SUP427,"Jones, Marquez and Stephens",P3445,16,4.4
SUP428,Harper Group,P4591,18,3.7
SUP429,Lawson Ltd,P1021,15,3.3
SUP430,"Reid, Hendricks and Page",P9768,11,3.3
SUP431,Hernandez-Young,P5675,6,3.3
SUP432,Jenkins-Simmons,P9909,7,4.4
SUP433,"Reese, Hanson and Adams",P9106,8,5.0
SUP434,Meadows-Barker,P6286,7,4.7
SUP435,"Escobar, Ortiz and Hood",P3926,17,3.6
SUP436,Moore and Sons,P4696,13,3.1
SUP437,Schultz-Rogers,P315,5,4.1
SUP438,Jenkins-Mason,P4462,19,2.8
SUP439,Davis-Caldwell,P8461,3,4.4
SUP440,Carr-Moore,P5628,4,4.5
SUP441,Ellis Group,P2916,18,3.5
SUP442,Alexander PLC,P5677,4,4.7
SUP443,Morris and Sons,P6485,17,4.3
SUP444,"Ruiz, Williams and Pearson",P1591,15,3.0
SUP445,Santos-Moore,P7203,8,2.8
SUP446,"Mejia, Dawson and Austin",P3282,18,3.3
SUP447,Smith-Wood,P2741,4,3.8
SUP448,Pollard-Walker,P2879,6,3.1
SUP449,"Hernandez, Robinson and Jones",P7917,17,4.2
SUP450,"Hernandez, Heath and Vazquez",P210,9,3.6
SUP451,Case Ltd,P8242,18,3.6
SUP452,Harris-Santana,P2620,13,4.5
SUP453,Herman-Harris,P8186,2,3.2
SUP454,Sanchez-Peters,P8180,7,2.9
SUP455,"Thompson, Carpenter and Price",P8298,9,2.7
SUP456,"Sanchez, Bolton and Campbell",P6900,15,4.9
SUP457,Clark Group,P3192,16,4.2
SUP458,Bowen PLC,P8782,10,4.8
SUP459,"Singh, Figueroa and Hall",P8206,6,2.9
SUP460,Barron-Dennis,P5213,2,4.0
SUP461,Collier-Brooks,P4226,19,3.8
SUP462,"Gray, Hernandez and Buchanan",P8968,13,2.8
SUP463,Gilbert-Frazier,P8258,12,2.6
SUP464,Huffman-Allen,P9674,19,3.7
SUP465,Smith-Peck,P1918,5,3.2
SUP466,Williams-Bruce,P7401,6,4.9
SUP467,Carter-Orr,P3429,18,3.6
SUP468,Davis Inc,P1146,5,4.5
SUP469,Navarro Inc,P9712,14,4.6
SUP470,"Hoffman, Holt and Mcconnell",P5289,18,3.6
SUP471,Campbell LLC,P7426,14,3.7
SUP472,Kim-Miller,P9948,2,4.5
SUP473,Morales LLC,P1119,10,3.8
SUP474,Carlson PLC,P6523,12,4.9
SUP475,"Martinez, Hunt and Curtis",P3659,9,2.9
SUP476,Carey Group,P4048,8,4.3
SUP477,Francis-Hernandez,P9155,16,3.6
SUP478,Anderson-Johnson,P2171,6,3.9
SUP479,"Lopez, Hunter and Garcia",P9420,7,3.5
SUP480,"Ruiz, Greene and Nelson",P7454,17,3.6
SUP481,Lewis Ltd,P6172,8,2.6
SUP482,Ramsey PLC,P8259,19,3.9
SUP483,Beard-Fields,P1813,5,3.2
SUP484,"Baker, Taylor and Lin",P1880,15,2.6
SUP485,Bass-Hobbs,P6417,2,4.1
SUP486,Alvarez Inc,P4452,2,4.5
SUP487,"Alexander, Jones and Coleman",P8308,20,4.7
SUP488,"Skinner, Carroll and Clark",P5748,2,4.3
SUP489,Mcintyre-Johnson,P6604,20,4.2
SUP490,Wilson and Sons,P9005,7,3.3
SUP491,"Martin, Garcia and Moses",P895,16,4.4
SUP492,Hendrix LLC,P2914,9,4.1
SUP493,"Johnson, Mason and Swanson",P5058,6,4.3
SUP494,White-Juarez,P2329,13,4.6
SUP495,Bright-Walters,P4906,15,3.8
SUP496,Martin-Andrade,P6432,18,3.3
SUP497,Adams Inc,P4542,11,4.0
SUP498,Travis PLC,P1006,8,3.6
SUP499,Swanson and Sons,P935,8,4.2
SUP500,"Johnson, Osborne and Wheeler",P7389,4,2.7
SUP501,Peck Ltd,P293,15,3.6
SUP502,"Cross, Robinson and Daniels",P2773,6,4.8
SUP503,"Ware, Thomas and Taylor",P8925,11,3.4
SUP504,"Harris, Miller and Thompson",P3135,17,2.7
SUP505,"Morgan, Curtis and Barry",P253,13,3.6
SUP506,Brown-Mcdonald,P7062,12,3.0
SUP507,Allen Ltd,P725,12,3.9
SUP508,Camacho-Werner,P9778,12,2.9
SUP509,Gonzalez-Nichols,P7746,5,3.3
SUP510,Dougherty-Rodgers,P2721,9,3.3
SUP511,"Phillips, Lam and Porter",P1782,7,2.8
SUP512,"Thompson, Williams and Griffith",P3452,20,3.1
SUP513,Warner Ltd,P4402,13,2.6
SUP514,Patterson and Sons,P76,10,4.9
SUP515,Saunders and Sons,P6276,9,2.8
SUP516,Evans-Humphrey,P888,18,5.0
SUP517,Brown and Sons,P1891,6,3.7
SUP518,Snyder-Solomon,P1219,12,3.5
SUP519,"Mcintyre, Carter and Mcintyre",P6962,15,4.6
SUP520,"Wright, Jimenez and Thompson",P5080,18,3.1
SUP521,Caldwell-Gilbert,P4968,13,5.0
SUP522,Hall-Flores,P2435,11,4.0
SUP523,Green-Benitez,P7503,10,4.0
SUP524,Liu Ltd,P5022,4,3.4
SUP525,Abbott Inc,P4037,11,2.8
SUP526,Gardner Group,P5652,13,3.1
SUP527,"Hester, Boyd and Hanson",P3949,18,2.5
SUP528,"Johnson, Kane and Phillips",P9069,14,3.5
SUP529,Mcintosh-Wallace,P1471,17,4.1
SUP530,"Acosta, Carter and Miller",P3813,15,3.6
SUP531,Nelson PLC,P1670,5,4.4
SUP532,Hays-Garcia,P5916,2,4.0
SUP533,Werner-Ford,P8793,6,3.3
SUP534,Huynh Group,P1925,19,3.9
SUP535,"Clark, Sparks and Garcia",P7170,5,2.9
SUP536,Andersen-Orozco,P2868,3,2.9
SUP537,"Owen, Knight and Miranda",P2723,12,3.7
SUP538,Beard-Bennett,P4956,14,4.5
SUP539,"Ruiz, Campbell and Morris",P4398,19,2.6
SUP540,Kennedy and Sons,P1230,13,3.8
SUP541,"Garner, Adams and Fernandez",P6620,4,3.3
SUP542,Thompson-Francis,P4132,20,2.8
SUP543,"Smith, Alvarez and Russell",P384,20,2.7
