sale_id,product_id,customer_id,quantity_sold,sale_date,revenue,discount,region
S91,P7049,C9670,8,2024-11-27,112768,15,Jaipur
S92,P4299,C5514,9,2026-05-11,330327,10,Mumbai
S93,P1508,C1647,7,2024-12-07,61992,10,Bangalore
S94,P6484,C2084,17,2024-08-17,648635,10,Mumbai
S95,P96,C8544,11,2024-08-15,221496,15,Jaipur
S96,P9790,C8247,3,2025-04-15,95994,5,Bangalore
S97,P4364,C6833,3,2026-02-20,45966,5,Jaipur
S98,P6435,C4375,15,2025-11-06,162405,0,Chandigarh
S99,P5010,C160,10,2025-08-21,443930,10,Delhi
S100,P5375,C36,15,2025-05-29,223965,10,Delhi
S101,P9558,C7372,3,2025-07-06,122211,5,Mumbai
S102,P2504,C4757,8,2024-12-12,251432,15,Mumbai
S103,P416,C2171,12,2025-08-27,434196,0,Delhi
S104,P250,C5174,17,2026-04-09,185470,5,Bangalore
S105,P6925,C985,15,2025-11-13,35310,0,Mumbai
S106,P4328,C1734,1,2025-08-16,12090,0,Chandigarh
S107,P9345,C4867,17,2026-03-19,626620,10,Mumbai
S108,P2123,C9461,4,2024-10-14,183492,15,Mumbai
S109,P4163,C3747,13,2026-02-25,584038,5,Delhi
S110,P1712,C6498,17,2024-12-26,195126,5,Pune
S111,P8624,C5231,17,2025-09-20,75718,10,Pune
S112,P4085,C3181,16,2024-06-30,247520,5,Chandigarh
S113,P2988,C409,2,2025-03-11,3730,0,Jaipur
S114,P668,C8257,20,2025-10-31,415120,0,Bangalore
S115,P7241,C4852,9,2025-04-08,278037,15,Jaipur
S116,P9056,C8232,11,2024-06-22,198286,5,Pune
S117,P3522,C6790,20,2026-01-28,454520,10,Delhi
S118,P4219,C2653,16,2026-03-23,252848,5,Chandigarh
S119,P92,C3972,18,2025-07-22,655164,15,Chandigarh
S120,P4228,C2058,1,2025-01-25,40399,10,Delhi
S121,P1658,C8347,1,2025-09-07,20113,10,Mumbai
S122,P4602,C6781,11,2024-10-14,333289,0,Pune
S123,P1636,C459,6,2025-08-03,140628,5,Bangalore
S124,P8014,C6799,17,2025-05-07,726546,0,Chandigarh
S125,P978,C8005,15,2025-04-01,557295,15,Mumbai
S126,P3896,C1909,14,2025-03-04,52164,10,Pune
S127,P927,C6210,13,2025-07-04,584870,5,Jaipur
S128,P9431,C1762,7,2025-05-21,192220,10,Chandigarh
S129,P3195,C6944,6,2026-01-16,120774,0,Chandigarh
S130,P3555,C232,3,2025-11-08,40653,0,Pune
S131,P4552,C5629,3,2024-12-10,112161,0,Bangalore
S132,P839,C2231,12,2024-06-02,20436,10,Mumbai
S133,P5879,C2344,16,2025-05-21,591776,15,Jaipur
S134,P1445,C8525,17,2024-10-28,535602,10,Bangalore
S135,P2846,C1848,10,2024-09-01,118910,0,Jaipur
S136,P8594,C755,1,2025-01-29,13292,0,Delhi
S137,P1895,C9993,4,2026-01-18,80992,5,Mumbai
S138,P6882,C8457,16,2026-05-23,574064,5,Delhi
S139,P285,C7941,12,2024-09-10,314832,0,Jaipur
S140,P2741,C7522,14,2025-02-21,474754,15,Mumbai
S141,P3683,C4253,14,2025-04-26,365988,15,Pune
S142,P108,C3728,11,2025-09-02,260953,5,Bangalore
S143,P1152,C9735,16,2024-06-12,256128,0,Mumbai
S144,P9018,C5342,11,2025-10-15,381161,0,Chandigarh
S145,P6956,C7222,18,2025-11-15,128574,15,Chandigarh
S146,P1916,C4961,9,2025-11-01,163323,10,Bangalore
S147,P9257,C4049,2,2025-04-18,69562,10,Mumbai
S148,P9881,C9857,5,2024-10-09,13300,0,Bangalore
S149,P3260,C1483,9,2025-08-04,201501,0,Chandigarh
S150,P1740,C603,15,2025-08-30,146655,0,Jaipur
S151,P3484,C3121,6,2026-01-27,297762,5,Delhi
S152,P2547,C9583,4,2026-01-29,193136,15,Bangalore
S153,P2130,C6382,15,2025-10-16,409560,10,Mumbai
S154,P2231,C1708,16,2025-12-25,79632,10,Delhi
S155,P9798,C7539,3,2025-05-18,140868,5,Mumbai
S156,P8775,C2810,1,2024-08-29,22474,10,Chandigarh
S157,P8857,C1256,12,2025-02-08,557040,0,Bangalore
S158,P1819,C564,10,2025-09-27,95500,15,Mumbai
S159,P6018,C2158,7,2024-07-06,242662,5,Jaipur
S160,P8123,C8740,16,2025-09-25,424000,15,Jaipur
S161,P3820,C3306,14,2025-10-13,360248,15,Mumbai
S162,P6105,C1072,17,2025-02-20,791571,10,Jaipur
S163,P8730,C8683,16,2025-10-21,384464,5,Pune
S164,P3712,C1218,7,2025-04-13,54586,15,Jaipur
S165,P8220,C8004,20,2025-12-04,219880,15,Mumbai
S166,P4653,C3608,4,2024-11-08,56236,15,Bangalore
S167,P2881,C8445,18,2024-12-09,552798,10,Bangalore
S168,P6911,C3034,5,2025-02-18,58660,15,Jaipur
S169,P4279,C9319,16,2025-07-13,528624,15,Pune
S170,P9353,C121,14,2024-06-27,268170,10,Delhi
S171,P4870,C6351,12,2024-09-17,289284,15,Jaipur
S172,P2475,C8117,13,2025-12-05,214058,0,Chandigarh
S173,P4116,C5820,11,2026-04-11,181863,10,Jaipur
S174,P7436,C3794,8,2025-05-30,123400,15,Jaipur
S175,P8124,C2123,11,2024-11-30,463210,5,Delhi
S176,P7538,C4893,20,2025-08-08,324180,5,Delhi
S177,P8588,C1702,11,2026-02-01,212509,10,Bangalore
S178,P5856,C4245,11,2026-02-05,23551,10,Bangalore
S179,P5039,C148,6,2025-10-20,244236,15,Mumbai
S180,P7221,C8390,11,2025-03-12,140019,5,Pune
S181,P9477,C426,18,2024-11-06,41274,0,Chandigarh
S182,P6404,C4658,8,2024-10-25,359304,10,Mumbai
S183,P5125,C2178,9,2025-11-05,96579,5,Pune
S184,P5600,C3362,12,2025-01-05,549012,5,Bangalore
S185,P1893,C8438,10,2025-02-08,355210,15,Mumbai
S186,P3769,C7113,2,2026-04-08,94616,5,Delhi
S187,P5879,C7129,1,2025-10-14,26875,15,Jaipur
S188,P3320,C6357,11,2024-12-06,238029,10,Chandigarh
S189,P7857,C7216,6,2025-07-17,141408,5,Pune
S190,P152,C3300,14,2026-01-21,301084,15,Bangalore
S191,P2717,C4500,18,2025-07-02,739764,15,Mumbai
S192,P3078,C9970,11,2025-08-21,65901,0,Delhi
S193,P5933,C3257,10,2026-01-05,319800,0,Bangalore
S194,P2644,C8614,1,2026-04-07,14687,0,Chandigarh
S195,P819,C5976,10,2024-07-24,156190,0,Mumbai
S196,P7100,C1924,6,2026-05-18,81972,10,Bangalore
S197,P9997,C9464,16,2025-05-03,56000,10,Pune
S198,P1387,C6759,13,2024-12-22,110747,5,Delhi
S199,P2718,C4209,17,2025-10-11,42721,5,Pune
S200,P8691,C8093,17,2024-06-06,553945,5,Delhi
S201,P2776,C8480,6,2026-01-08,282240,10,Delhi
S202,P6854,C1539,11,2025-10-16,409244,0,Delhi
S203,P324,C3504,11,2026-04-23,400961,5,Bangalore
S204,P7615,C3568,3,2025-10-22,90018,10,Jaipur
S205,P2415,C5010,4,2026-03-24,35004,5,Chandigarh
S206,P1200,C7521,17,2025-10-21,471835,15,Pune
S207,P5958,C7340,8,2025-12-04,54440,15,Bangalore
S208,P4230,C7818,20,2026-01-27,865820,0,Mumbai
S209,P5367,C6364,11,2025-10-30,235609,0,Jaipur
S210,P3369,C9669,8,2024-12-04,128128,15,Pune
S211,P5382,C8372,7,2024-07-15,52710,15,Bangalore
S212,P2245,C376,8,2024-06-08,81872,10,Mumbai
S213,P7301,C7995,12,2024-08-26,395652,15,Mumbai
S214,P5386,C3772,10,2025-01-07,71190,5,Delhi
S215,P9154,C7047,6,2025-09-21,134796,10,Jaipur
S216,P7943,C4965,13,2024-06-08,496509,10,Pune
S217,P1744,C6947,10,2025-10-23,325620,10,Pune
S218,P2838,C5554,6,2024-11-29,65364,5,Delhi
S219,P1647,C1539,11,2025-06-02,218339,5,Jaipur
S220,P401,C2896,12,2025-02-15,147588,15,Pune
S221,P6250,C5467,13,2024-09-02,169013,5,Mumbai
S222,P681,C3044,15,2024-08-07,613095,15,Pune
S223,P5849,C5500,13,2026-04-02,324753,0,Jaipur
S224,P8998,C7208,8,2025-12-08,339376,5,Pune
S225,P3803,C7532,6,2026-02-14,205242,5,Chandigarh
S226,P8887,C7690,1,2025-08-22,31655,10,Bangalore
S227,P4661,C186,9,2026-02-15,68868,5,Pune
S228,P403,C401,1,2025-12-18,17953,5,Jaipur
S229,P3610,C7484,12,2024-11-02,64644,5,Bangalore
S230,P4714,C4184,14,2024-06-16,496426,15,Mumbai
S231,P6275,C7472,10,2026-01-26,244500,5,Chandigarh
S232,P3101,C8340,9,2025-05-09,246879,10,Delhi
S233,P7423,C2890,3,2025-03-20,144123,0,Chandigarh
S234,P6238,C9363,10,2025-04-21,209280,5,Mumbai
S235,P658,C3834,7,2025-09-18,99638,10,Jaipur
S236,P507,C9896,20,2024-10-07,138480,5,Delhi
S237,P5794,C9897,12,2025-04-12,145152,10,Delhi
S238,P5805,C7692,7,2025-04-26,118573,5,Chandigarh
S239,P8433,C7533,11,2026-04-28,406252,5,Delhi
S240,P446,C1625,16,2024-09-14,549840,10,Pune
S241,P2827,C5022,20,2024-11-09,948100,0,Pune
S242,P7919,C3533,6,2026-04-18,56754,15,Pune
S243,P242,C8602,8,2025-09-07,27128,15,Bangalore
S244,P6533,C8775,7,2025-04-10,140854,0,Bangalore
S245,P7355,C9258,4,2024-12-13,136512,15,Delhi
S246,P171,C9047,19,2025-03-01,602680,10,Jaipur
S247,P2078,C2687,13,2025-09-19,335244,10,Mumbai
S248,P4085,C6662,1,2025-12-31,30928,10,Pune
S249,P9715,C1311,7,2025-08-20,68215,5,Jaipur
S250,P1353,C7802,16,2025-06-15,325088,10,Delhi
S251,P1846,C3528,11,2025-12-10,122375,0,Pune
S252,P5592,C4572,10,2025-02-23,95480,5,Bangalore
S253,P7834,C1042,18,2026-04-01,810018,5,Jaipur
S254,P5442,C4497,19,2025-02-21,210273,5,Pune
S255,P2816,C1839,19,2025-09-17,784130,10,Chandigarh
S256,P3747,C7834,10,2025-11-08,128840,0,Delhi
S257,P3235,C4125,6,2026-02-23,199998,5,Pune
S258,P6752,C7040,3,2025-09-21,55275,10,Chandigarh
S259,P3894,C2922,15,2024-10-17,582075,5,Bangalore
S260,P5284,C1311,5,2025-06-25,86075,0,Bangalore
S261,P1591,C6223,18,2026-05-27,258390,15,Chandigarh
S262,P6282,C3357,13,2024-06-20,235833,0,Delhi
S263,P733,C8008,4,2024-12-10,53572,0,Delhi
S264,P3478,C5134,1,2025-07-01,20577,0,Mumbai
S265,P7135,C3763,5,2025-03-15,133350,10,Delhi
S266,P5834,C7993,3,2025-11-27,58416,5,Chandigarh
S267,P7626,C4204,18,2024-09-06,419940,0,Delhi
S268,P4941,C75,8,2025-01-21,186720,5,Delhi
S269,P6379,C3239,9,2024-10-04,66807,0,Bangalore
S270,P7401,C3550,5,2025-11-14,6460,10,Jaipur
S271,P7285,C4397,6,2024-10-20,71454,10,Bangalore
S272,P6117,C9919,10,2024-08-07,231200,5,Bangalore
S273,P2331,C5809,12,2025-02-17,282780,10,Mumbai
S274,P1832,C9538,3,2025-01-30,93564,15,Jaipur
S275,P7605,C5396,19,2025-11-26,365769,0,Chandigarh
S276,P4057,C6991,2,2024-11-11,87338,10,Mumbai
S277,P5079,C9003,18,2026-03-01,886554,15,Bangalore
S278,P3327,C2776,19,2026-03-05,736155,0,Delhi
S279,P5781,C9129,19,2026-03-26,923153,10,Bangalore
S280,P540,C6396,18,2025-01-16,115326,10,Jaipur
S281,P7938,C4875,12,2024-08-23,376896,5,Mumbai
S282,P4945,C4720,3,2024-09-11,46122,15,Mumbai
S283,P9294,C8781,13,2025-09-12,285402,0,Pune
S284,P8754,C3485,3,2025-11-18,118626,5,Mumbai
S285,P7506,C7469,16,2024-06-26,19472,5,Pune
S286,P9804,C4169,7,2026-05-12,25837,5,Chandigarh
S287,P439,C285,4,2026-03-14,86140,5,Mumbai
S288,P4202,C3374,17,2026-04-17,566695,10,Jaipur
S289,P4934,C9739,4,2025-02-14,139992,15,Bangalore
S290,P376,C6799,7,2025-01-01,140889,0,Pune
S291,P8943,C4062,19,2024-12-27,65056,5,Bangalore
S292,P4227,C241,13,2026-03-24,639171,0,Pune
S293,P9254,C451,5,2025-02-09,66880,15,Jaipur
S294,P2273,C5270,14,2025-02-24,80570,15,Bangalore
S295,P1711,C5573,6,2024-07-23,95718,10,Jaipur
S296,P3114,C98,17,2025-04-09,756177,5,Chandigarh
S297,P8423,C8691,16,2026-01-24,402976,15,Chandigarh
S298,P6807,C9712,2,2024-09-02,42898,0,Delhi
S299,P4409,C9758,3,2025-03-31,58155,10,Delhi
S300,P5740,C2875,6,2024-06-14,59700,5,Chandigarh
S301,P8580,C5235,6,2024-07-26,209532,0,Pune
S302,P4595,C4301,16,2024-11-30,146272,0,Mumbai
S303,P5122,C9184,18,2024-08-17,609534,15,Jaipur
S304,P5077,C5596,12,2025-06-30,496032,5,Bangalore
S305,P4483,C455,7,2025-05-23,269906,0,Jaipur
S306,P1441,C669,15,2026-03-14,409890,5,Pune
S307,P9140,C7812,17,2025-04-07,388637,0,Pune
S308,P5161,C1467,13,2024-09-18,190294,15,Jaipur
S309,P9994,C2790,1,2024-06-28,7732,0,Jaipur
S310,P3940,C9043,3,2025-05-26,5457,5,Jaipur
S311,P8944,C1812,16,2025-01-26,133376,15,Bangalore
S312,P8504,C1838,12,2025-11-15,569688,5,Delhi
S313,P6549,C2316,20,2025-08-09,472780,5,Pune
S314,P5588,C2049,14,2024-10-01,265538,10,Bangalore
S315,P6673,C3796,6,2026-01-30,99462,15,Pune
S316,P1116,C6365,2,2025-12-09,20200,5,Mumbai
S317,P282,C1328,13,2026-01-06,363506,10,Jaipur
S318,P659,C6545,5,2024-12-20,192070,15,Mumbai
S319,P2340,C9268,2,2024-10-12,52766,10,Bangalore
S320,P8976,C2299,7,2025-09-25,78204,15,Chandigarh
S321,P9074,C2491,19,2026-05-26,93556,15,Mumbai
S322,P7721,C9117,13,2024-08-29,472693,0,Mumbai
S323,P7484,C2125,19,2026-04-15,257203,5,Jaipur
S324,P1761,C1027,15,2025-08-29,680835,5,Mumbai
S325,P4176,C5396,17,2025-03-14,688160,10,Pune
S326,P861,C1260,8,2026-01-09,154760,15,Mumbai
S327,P7391,C1463,11,2025-10-07,386969,5,Chandigarh
S328,P2040,C679,2,2025-03-25,96118,10,Chandigarh
S329,P8061,C416,12,2024-12-01,424476,15,Delhi
S330,P2264,C1166,20,2025-09-27,286440,10,Jaipur
S331,P6295,C7805,8,2025-08-24,367368,5,Chandigarh
S332,P8320,C3247,10,2025-03-11,145830,15,Mumbai
S333,P4586,C755,1,2025-07-28,29671,5,Delhi
S334,P1074,C6112,19,2024-12-14,861726,0,Delhi
S335,P8772,C7971,3,2024-11-21,105633,15,Jaipur
S336,P8348,C5579,3,2025-09-13,115998,0,Pune
S337,P9732,C5808,7,2025-02-12,187880,10,Chandigarh
S338,P3523,C1314,16,2024-07-22,667104,5,Jaipur
S339,P1112,C6743,9,2026-04-12,228240,15,Mumbai
S340,P4235,C2170,12,2026-04-15,239064,15,Pune
S341,P3227,C6254,12,2024-08-10,568140,15,Pune
S342,P6742,C8979,20,2025-02-16,604060,15,Pune
S343,P2231,C871,10,2025-10-23,145220,15,Delhi
S344,P7197,C859,20,2025-04-23,176460,0,Bangalore
S345,P4806,C5515,13,2026-04-28,139542,15,Pune
S346,P6236,C8569,16,2026-05-03,472400,0,Chandigarh
S347,P8908,C566,14,2026-01-20,97062,10,Bangalore
S348,P1062,C8450,19,2025-07-28,571957,15,Chandigarh
S349,P5590,C1591,5,2025-02-20,49905,0,Delhi
S350,P2056,C2532,10,2025-12-18,371330,10,Mumbai
S351,P3007,C7218,16,2024-08-07,212752,15,Delhi
S352,P3843,C9533,11,2024-07-22,104225,15,Pune
S353,P5263,C9016,4,2025-12-07,115368,15,Bangalore
S354,P642,C7661,19,2025-10-28,816240,0,Chandigarh
S355,P9238,C4959,7,2024-11-13,54768,15,Chandigarh
S356,P2067,C5742,12,2025-04-14,285828,15,Bangalore
S357,P2909,C5908,11,2025-01-30,395879,5,Pune
S358,P9479,C2695,14,2025-10-06,659456,5,Delhi
S359,P4233,C9798,6,2025-09-09,109344,5,Jaipur
S360,P726,C9297,2,2024-10-12,2672,5,Chandigarh
S361,P3644,C4888,8,2026-01-05,357136,10,Pune
S362,P4405,C8444,5,2025-03-19,19895,15,Jaipur
S363,P8324,C2410,8,2025-12-25,386320,10,Delhi
S364,P1721,C5332,3,2025-02-11,127845,15,Mumbai
S365,P7327,C8667,19,2025-02-15,498408,10,Bangalore
S366,P7505,C1719,20,2025-10-03,394800,5,Pune
S367,P3206,C8378,5,2025-02-21,88975,15,Jaipur
S368,P5529,C210,11,2025-04-18,26037,5,Jaipur
S369,P9705,C4718,12,2026-03-21,70752,15,Chandigarh
S370,P3455,C8675,15,2025-03-25,47145,0,Bangalore
S371,P3788,C2840,16,2026-05-07,554544,0,Delhi
S372,P401,C2368,10,2026-01-15,282010,15,Chandigarh
S373,P1908,C3971,10,2024-08-03,183220,10,Bangalore
S374,P850,C1923,12,2025-04-04,217740,0,Delhi
S375,P8886,C7233,9,2025-03-12,448740,0,Pune
S376,P3692,C6719,7,2024-06-30,254079,10,Bangalore
S377,P3307,C829,3,2025-02-05,24747,10,Chandigarh
S378,P2181,C6090,9,2024-07-25,344241,10,Jaipur
S379,P3483,C2299,17,2025-12-27,192015,15,Jaipur
S380,P8231,C6567,5,2025-10-20,234105,10,Jaipur
S381,P4532,C367,6,2025-01-12,146154,5,Mumbai
S382,P3497,C6632,3,2026-01-29,139455,5,Bangalore
S383,P415,C967,17,2026-03-08,673319,15,Chandigarh
S384,P3314,C172,4,2026-04-29,166696,15,Bangalore
S385,P5441,C6887,17,2025-09-01,703749,5,Mumbai
S386,P3634,C4695,4,2026-02-27,57964,15,Pune
S387,P7872,C2684,20,2025-05-19,537960,10,Jaipur
S388,P6257,C5818,8,2025-02-22,372008,0,Chandigarh
S389,P4754,C6061,11,2025-11-24,365343,0,Pune
S390,P8074,C3117,11,2024-07-15,318989,10,Jaipur
S391,P6244,C1407,18,2025-04-14,448650,5,Pune
S392,P8444,C3855,20,2025-05-08,924980,15,Mumbai
S393,P6688,C1362,6,2026-05-04,213612,10,Delhi
S394,P3023,C8089,6,2024-05-29,26736,15,Bangalore
S395,P8747,C6476,20,2025-05-07,272320,15,Bangalore
S396,P8299,C4489,9,2026-04-21,210393,10,Jaipur
S397,P3624,C2368,14,2025-10-25,639394,5,Mumbai
S398,P5392,C137,14,2024-12-13,132048,15,Chandigarh
S399,P3289,C8640,2,2026-05-16,82626,15,Pune
S400,P8929,C6431,16,2025-07-28,707664,0,Delhi
S401,P1006,C4971,8,2024-09-26,18856,10,Jaipur
S402,P693,C4389,19,2025-08-29,215954,5,Bangalore
S403,P1002,C6578,16,2026-01-04,120912,0,Jaipur
S404,P5691,C818,18,2025-03-31,679770,0,Delhi
S405,P7805,C1229,7,2025-06-10,325920,5,Chandigarh
S406,P718,C9313,15,2025-07-05,508065,10,Pune
S407,P7812,C3804,10,2025-12-22,165670,0,Jaipur
S408,P1417,C7731,19,2026-05-26,526794,10,Jaipur
S409,P1363,C6465,5,2025-11-09,81695,0,Delhi
S410,P6190,C8026,17,2026-01-21,524467,0,Mumbai
S411,P4278,C5316,19,2024-10-01,941640,10,Delhi
S412,P135,C3225,12,2024-09-04,283968,0,Pune
S413,P594,C5253,9,2026-01-22,310140,5,Bangalore
S414,P3872,C4023,9,2025-10-11,63468,0,Jaipur
S415,P2303,C3976,7,2026-04-05,265356,0,Mumbai
S416,P5327,C3978,3,2024-09-04,11133,0,Jaipur
S417,P3350,C4515,19,2025-09-06,712633,5,Bangalore
S418,P6518,C1159,18,2024-12-20,73530,15,Chandigarh
S419,P7798,C4693,4,2025-05-17,128884,10,Bangalore
S420,P3908,C818,4,2025-05-17,102444,0,Pune
S421,P5137,C5657,2,2025-10-01,75166,15,Mumbai
S422,P7065,C5535,2,2025-03-08,33026,0,Jaipur
S423,P870,C691,1,2024-09-14,36739,5,Bangalore
S424,P7925,C724,8,2024-08-13,161544,10,Bangalore
S425,P2572,C4496,7,2025-07-27,343231,5,Mumbai
S426,P5086,C2856,6,2024-10-10,78666,5,Chandigarh
S427,P9361,C8732,9,2025-05-24,43623,15,Chandigarh
S428,P1410,C5463,16,2024-07-15,342432,5,Chandigarh
S429,P9457,C1662,8,2025-08-16,378432,5,Pune
S430,P910,C9965,17,2024-12-26,222173,5,Mumbai
S431,P4285,C3214,3,2025-05-09,63525,15,Mumbai
S432,P854,C6309,11,2026-02-02,306757,0,Pune
S433,P2358,C9685,18,2026-02-07,622512,10,Delhi
S434,P5613,C3526,6,2024-12-20,231552,15,Pune
S435,P5687,C6800,19,2026-03-09,243637,15,Mumbai
S436,P4452,C8638,12,2024-06-10,186852,0,Bangalore
S437,P2835,C7683,19,2026-01-22,162393,10,Pune
S438,P8914,C184,4,2026-01-12,80092,15,Delhi
S439,P5323,C8210,20,2026-04-18,60760,10,Mumbai
S440,P4555,C3164,9,2026-03-16,67284,15,Jaipur
S441,P8868,C5223,14,2025-05-05,545818,0,Pune
S442,P9126,C3250,20,2024-09-22,223720,0,Delhi
S443,P5026,C5460,13,2025-03-31,119847,5,Mumbai
S444,P4463,C4383,18,2025-04-20,564912,15,Pune
S445,P9050,C4668,9,2026-03-20,117909,15,Bangalore
S446,P9024,C8053,10,2025-03-26,168410,15,Jaipur
S447,P3603,C8693,3,2024-05-30,132219,5,Mumbai
S448,P2724,C5416,7,2025-06-11,341859,5,Pune
S449,P3377,C4757,7,2026-01-05,173705,5,Mumbai
S450,P3803,C4161,17,2024-09-05,480641,0,Delhi
S451,P174,C8836,9,2026-01-22,271296,10,Chandigarh
S452,P8387,C4414,1,2024-10-24,12224,0,Jaipur
S453,P2787,C4638,10,2025-12-14,424360,5,Pune
S454,P8112,C303,3,2025-05-01,146067,0,Jaipur
S455,P216,C9343,12,2025-03-26,395196,10,Delhi
S456,P5670,C7300,20,2024-09-16,233460,5,Bangalore
S457,P4920,C8103,1,2026-01-29,47831,15,Chandigarh
