inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,safety_stock,damaged_stock,last_updated
I38,P2121,W5616,947,124,75,8,2026-01-20
I39,P6153,W7315,773,135,55,20,2025-06-15
I40,P5478,W4429,525,30,15,17,2025-10-09
I41,P2435,W8239,888,106,65,7,2026-04-24
I42,P862,W8128,588,178,67,11,2025-07-02
I43,P9886,W7979,417,82,65,17,2025-06-03
I44,P7390,W3255,548,16,52,10,2026-01-23
I45,P5580,W7891,818,57,42,6,2025-12-27
I46,P2901,W6786,536,159,57,18,2025-08-29
I47,P1188,W8781,786,32,14,5,2025-08-19
I48,P656,W9971,321,78,12,6,2026-05-17
I49,P9776,W930,19,158,16,8,2025-11-01
I50,P2165,W1280,388,33,18,3,2026-04-28
I51,P8048,W5048,352,41,36,6,2026-03-31
I52,P2658,W3127,224,45,77,10,2026-02-26
I53,P9247,W4274,898,18,47,2,2026-04-20
I54,P1077,W6567,998,164,87,13,2025-10-20
I55,P142,W7310,899,58,13,5,2026-03-12
I56,P9345,W6047,272,160,52,6,2025-09-28
I57,P8107,W9930,142,187,30,16,2026-02-19
I58,P7013,W6570,751,186,86,4,2025-11-24
I59,P9136,W6033,911,33,66,17,2026-05-09
I60,P9243,W608,815,13,41,5,2025-07-27
I61,P3969,W7685,749,197,42,12,2026-03-27
I62,P8438,W1189,739,133,10,15,2026-02-27
I63,P4542,W4682,840,141,37,5,2025-10-09
I64,P5434,W7273,301,20,78,13,2025-08-18
I65,P2699,W7547,133,60,84,6,2026-02-28
I66,P2460,W4133,436,159,52,5,2025-07-07
I67,P7744,W774,10,152,83,6,2025-09-10
I68,P4557,W7344,517,91,31,18,2025-08-25
I69,P3024,W6464,60,25,12,14,2025-07-21
I70,P8578,W7932,272,168,64,20,2025-12-29
I71,P9241,W5307,241,103,46,16,2025-07-09
I72,P2121,W5486,85,168,12,0,2026-04-03
I73,P5759,W7966,636,147,87,7,2025-06-20
I74,P4336,W3874,245,88,31,10,2026-01-29
I75,P1414,W8223,270,76,13,10,2026-05-20
I76,P7917,W9592,318,10,99,17,2025-06-14
I77,P2963,W3521,688,107,21,2,2025-11-21
I78,P107,W4674,518,106,81,1,2025-12-08
I79,P5798,W1970,656,168,36,17,2026-01-12
I80,P5997,W8501,782,60,96,12,2026-03-18
I81,P7735,W9956,890,17,63,5,2026-04-06
I82,P5029,W9128,935,80,14,12,2025-10-26
I83,P8314,W1517,808,83,42,0,2025-10-21
I84,P3927,W308,518,20,29,13,2025-11-22
I85,P7225,W6163,771,186,17,2,2026-01-02
I86,P1934,W1440,51,150,99,12,2025-07-16
I87,P729,W6274,829,105,62,9,2025-11-16
I88,P7554,W8307,562,130,90,18,2025-10-07
I89,P9129,W2683,8,53,91,19,2025-09-14
I90,P6052,W1588,815,199,91,12,2026-03-21
I91,P9028,W5669,460,17,36,15,2025-08-11
I92,P5937,W7305,556,138,62,20,2025-10-04
I93,P5457,W4033,720,96,67,11,2025-07-29
I94,P8918,W2220,313,120,99,11,2025-09-09
I95,P2872,W3732,907,174,23,9,2025-10-09
I96,P1210,W6654,66,43,63,12,2026-03-29
I97,P1237,W8697,506,110,99,9,2026-03-15
I98,P7091,W4220,534,147,15,14,2025-10-11
I99,P1719,W5444,212,45,47,2,2025-10-12
I100,P3647,W3327,7,164,87,6,2026-05-03
I101,P8127,W9658,408,99,11,4,2026-04-14
I102,P2648,W9762,778,103,7,16,2025-12-31
I103,P881,W6673,759,145,77,13,2025-08-14
I104,P6264,W2794,798,153,33,16,2025-10-10
I105,P585,W9663,575,174,67,19,2025-11-06
I106,P2011,W1552,510,180,7,3,2025-06-18
I107,P7346,W1352,239,106,99,1,2026-03-29
I108,P2468,W36,157,142,8,19,2026-05-21
I109,P1367,W6897,936,15,8,13,2026-03-11
I110,P2306,W7016,226,48,32,14,2025-11-10
I111,P2574,W7291,270,21,18,14,2026-01-07
I112,P6170,W9978,799,83,74,7,2026-03-12
I113,P5531,W7609,572,54,47,10,2026-04-26
I114,P6786,W8049,195,107,16,0,2026-05-25
I115,P9308,W8627,510,13,76,19,2025-08-26
I116,P4713,W8170,125,51,10,0,2025-10-01
I117,P8975,W1050,575,129,68,1,2025-09-20
I118,P319,W6135,395,47,73,11,2025-06-12
I119,P1557,W4422,229,11,32,13,2025-10-06
I120,P9586,W9084,791,135,58,19,2025-10-27
I121,P3804,W5542,566,200,87,2,2025-09-25
I122,P9090,W8983,353,56,76,11,2025-12-04
I123,P8316,W6775,62,188,14,12,2025-10-08
I124,P65,W7408,493,152,17,9,2025-08-27
I125,P9658,W5594,136,167,41,19,2025-08-29
I126,P2530,W2104,292,74,27,20,2025-06-14
I127,P9445,W8448,392,32,70,16,2026-01-30
I128,P1504,W6677,609,73,31,10,2025-07-13
I129,P9350,W6733,650,170,96,16,2025-08-02
I130,P3832,W9923,283,77,47,5,2026-04-06
I131,P6237,W1092,338,61,91,7,2025-07-19
I132,P5054,W5872,315,134,86,7,2025-06-18
I133,P3748,W9404,449,184,73,20,2026-02-17
I134,P2401,W8476,923,37,28,7,2025-09-08
I135,P5441,W539,161,100,40,15,2026-02-03
I136,P6382,W5124,690,181,23,20,2025-11-25
I137,P3082,W6421,752,97,74,20,2025-12-18
I138,P3454,W5264,730,109,51,18,2025-11-22
I139,P3229,W291,660,163,38,3,2025-07-12
I140,P9163,W9564,342,191,47,4,2026-05-05
I141,P8196,W3360,670,28,32,2,2026-01-21
I142,P7025,W9781,208,90,54,14,2026-01-05
I143,P7685,W6110,312,24,13,15,2025-06-17
I144,P8124,W6339,447,171,89,19,2025-07-10
I145,P641,W6791,594,146,76,18,2026-03-11
I146,P6050,W4037,19,60,34,5,2025-12-06
I147,P237,W1783,58,25,27,19,2026-04-24
I148,P7934,W7868,27,30,74,18,2025-09-12
I149,P9448,W3485,186,91,53,20,2025-11-29
I150,P5488,W3470,184,26,49,12,2025-07-30
I151,P9064,W7285,258,102,99,6,2025-07-19
I152,P1732,W2664,529,17,30,14,2026-03-18
I153,P7946,W117,216,37,88,0,2026-03-09
I154,P1898,W2610,403,192,95,10,2025-12-30
I155,P7479,W3529,246,200,26,4,2025-11-14
I156,P793,W5849,513,51,73,2,2025-11-29
I157,P1572,W812,182,194,13,10,2025-09-14
I158,P8316,W9891,73,45,99,8,2026-03-14
I159,P9173,W5659,242,42,61,8,2026-04-09
I160,P6944,W5681,746,55,7,19,2025-09-17
I161,P9809,W6864,135,37,54,7,2025-09-08
I162,P531,W4592,122,69,98,5,2026-04-02
I163,P2778,W7941,948,186,82,16,2025-10-02
I164,P1124,W8422,551,81,21,4,2025-07-24
I165,P3626,W1948,854,67,90,15,2025-11-05
I166,P313,W8715,216,194,24,16,2025-06-23
I167,P6971,W2018,168,57,31,11,2025-07-05
I168,P8190,W1148,666,167,29,0,2025-12-24
I169,P2202,W5282,673,129,89,7,2026-01-13
I170,P9588,W7289,404,68,5,17,2025-05-29
I171,P4068,W8795,845,141,91,19,2025-07-05
I172,P5269,W8463,346,172,75,19,2026-01-01
I173,P739,W2519,420,87,37,11,2025-08-28
I174,P6647,W466,809,105,91,14,2025-09-14
I175,P9941,W1901,822,69,100,8,2025-09-12
I176,P4583,W926,928,119,94,19,2026-03-04
I177,P4179,W8599,169,11,58,6,2026-04-12
I178,P823,W9721,483,98,83,19,2026-03-27
I179,P4172,W8392,561,73,40,13,2025-11-03
I180,P9502,W2164,311,87,10,20,2025-06-01
I181,P6613,W1132,240,194,86,1,2026-01-31
I182,P8571,W9569,389,40,10,5,2025-09-17
I183,P7951,W6603,204,46,54,12,2025-06-05
I184,P6690,W7410,657,119,13,5,2025-08-01
I185,P8957,W3283,850,170,94,19,2026-04-02
I186,P2543,W5450,91,140,96,3,2025-07-03
I187,P8936,W4594,373,86,70,14,2025-07-30
I188,P9831,W6353,109,193,99,4,2026-03-10
I189,P198,W937,705,95,13,13,2025-06-11
I190,P7918,W31,388,38,55,4,2025-11-25
I191,P1631,W4695,373,146,52,14,2025-10-14
I192,P1734,W4519,774,46,40,11,2026-02-26
I193,P6205,W1259,721,99,63,3,2026-05-26
I194,P7970,W5794,691,64,44,3,2025-07-30
I195,P9186,W5368,600,11,100,9,2025-11-27
I196,P1677,W775,508,48,90,0,2026-02-28
I197,P3164,W3354,58,54,44,14,2025-07-20
I198,P3199,W6828,145,198,99,3,2026-03-17
I199,P4153,W1703,10,83,94,0,2025-09-26
I200,P390,W3273,911,130,59,6,2025-11-27
I201,P9107,W267,609,101,42,13,2025-11-19
I202,P6867,W694,452,70,65,9,2025-09-21
I203,P462,W7709,49,100,39,12,2026-05-16
I204,P4976,W1234,488,80,71,15,2025-06-06
I205,P6985,W2743,144,90,50,16,2025-11-17
I206,P5107,W1857,42,108,72,10,2025-06-25
I207,P3031,W4012,173,72,9,4,2026-05-19
I208,P8981,W1551,252,56,88,15,2025-10-22
I209,P7884,W7080,319,177,37,10,2025-12-03
I210,P8735,W2974,771,179,100,8,2025-09-22
I211,P6061,W8872,992,110,7,8,2025-11-29
I212,P6162,W2420,187,114,84,20,2026-04-27
I213,P1037,W9,6,40,99,18,2025-05-30
I214,P5855,W6383,224,45,47,7,2026-05-26
I215,P3752,W8118,108,12,54,6,2025-06-02
I216,P6513,W5823,710,158,93,20,2025-12-11
I217,P8868,W5496,277,87,10,16,2025-10-29
I218,P5815,W9949,896,154,79,15,2025-11-03
I219,P1081,W3127,17,167,20,5,2026-05-03
I220,P1975,W3146,536,168,14,0,2025-07-09
I221,P5117,W8739,603,184,80,5,2025-07-25
I222,P9756,W5734,826,28,31,0,2025-10-06
I223,P1771,W9817,235,115,59,3,2026-04-12
I224,P6356,W5171,987,118,89,3,2025-08-06
I225,P7544,W7570,691,31,61,12,2025-10-24
I226,P7441,W1456,288,166,6,4,2026-03-24
I227,P1177,W4301,758,48,63,3,2025-10-02
I228,P9025,W9864,391,22,30,8,2025-07-15
I229,P555,W9104,875,35,20,6,2026-04-20
I230,P1115,W5036,709,83,76,10,2026-04-10
I231,P2604,W7882,852,39,70,17,2026-02-20
I232,P3570,W931,950,87,25,0,2025-06-01
I233,P5452,W7428,138,54,100,13,2026-03-11
I234,P4347,W2252,157,55,91,16,2025-07-22
I235,P1080,W4788,224,113,70,19,2025-11-10
I236,P355,W763,286,90,98,2,2025-08-01
I237,P6756,W933,304,125,75,1,2026-02-26
I238,P1691,W5485,932,112,96,16,2025-08-19
I239,P2537,W7193,119,47,25,3,2025-09-18
I240,P7619,W758,784,11,69,9,2025-09-24
I241,P9453,W3338,100,97,95,2,2026-01-18
I242,P562,W701,923,147,52,2,2026-04-01
I243,P9339,W7756,94,87,48,19,2026-05-20
I244,P1605,W9528,552,117,29,19,2026-03-07
I245,P6401,W8376,387,117,53,2,2025-11-09
I246,P3561,W180,965,182,45,14,2025-11-28
I247,P7289,W4827,531,15,94,5,2026-04-15
I248,P9631,W8819,693,196,47,3,2025-05-28
I249,P1068,W6090,167,114,49,3,2025-07-20
I250,P9559,W4791,854,39,81,19,2026-02-26
I251,P5833,W8407,360,178,13,6,2025-10-17
I252,P1682,W578,693,39,58,4,2025-10-31
I253,P2887,W7674,359,107,39,18,2025-09-22
I254,P1407,W8925,282,95,28,19,2025-07-06
I255,P3862,W4980,516,130,51,17,2025-08-01
I256,P5303,W7018,760,188,90,19,2025-09-23
I257,P446,W35,79,119,17,2,2026-05-03
I258,P5151,W1012,803,126,44,12,2025-09-15
I259,P9910,W7390,143,125,67,11,2026-04-02
I260,P6951,W9580,557,67,9,15,2026-01-06
I261,P1768,W9759,101,139,49,17,2025-09-21
I262,P3317,W1828,814,79,91,15,2025-06-11
I263,P2016,W8458,720,39,66,7,2025-09-23
I264,P3870,W872,747,129,49,10,2025-12-05
I265,P5143,W5815,813,99,30,6,2025-09-25
I266,P6263,W7133,674,79,56,0,2025-12-16
I267,P200,W6627,219,29,18,1,2026-01-26
I268,P359,W9383,55,150,87,9,2025-08-12
I269,P3278,W6325,180,87,70,10,2026-04-04
I270,P5350,W3961,993,182,34,7,2025-11-02
I271,P1701,W2413,958,35,18,12,2026-03-20
I272,P6074,W8331,170,195,78,12,2025-10-18
I273,P4477,W9235,643,190,59,2,2025-06-19
I274,P5049,W5170,125,110,43,1,2025-07-14
I275,P1826,W1309,289,30,89,0,2025-05-28
I276,P9976,W7407,146,66,45,14,2025-08-10
I277,P9185,W640,714,171,5,7,2025-12-19
I278,P1066,W1994,880,113,20,1,2025-10-09
I279,P7488,W329,561,25,68,17,2025-05-31
I280,P5241,W4939,844,153,89,12,2025-10-19
I281,P9590,W3033,714,57,34,3,2026-04-13
I282,P2374,W5178,245,65,12,8,2025-07-27
I283,P2147,W7232,452,178,25,10,2025-05-28
I284,P4816,W5597,611,185,37,2,2026-01-05
I285,P4441,W198,127,46,75,18,2025-11-03
I286,P8700,W7845,1000,148,82,0,2025-12-09
I287,P4745,W8199,257,37,25,2,2026-01-01
I288,P2456,W7685,156,10,79,17,2025-11-23
I289,P5714,W3500,729,83,54,4,2025-12-09
I290,P8507,W92,731,165,36,8,2025-11-02
I291,P7258,W6326,753,134,43,19,2025-12-29
I292,P7096,W318,330,19,93,7,2025-12-13
I293,P7334,W5472,382,146,91,1,2025-11-03
I294,P8778,W501,122,111,66,7,2025-11-25
I295,P2782,W1807,818,160,84,14,2025-06-09
I296,P6286,W9675,882,101,8,10,2025-11-18
I297,P2919,W8464,786,41,30,3,2025-08-11
I298,P9890,W9651,273,34,29,9,2025-08-05
I299,P8230,W235,191,24,18,4,2026-03-15
I300,P8776,W2683,635,156,40,20,2025-07-28
I301,P7893,W6044,68,56,79,17,2026-04-13
I302,P353,W1475,641,87,26,6,2025-09-14
I303,P3031,W4973,222,94,70,16,2025-10-05
I304,P6613,W6549,867,145,42,0,2026-01-10
I305,P7170,W2809,283,144,75,19,2026-01-07
I306,P9062,W7973,38,50,83,16,2026-03-18
I307,P9201,W297,116,38,20,7,2025-10-15
I308,P368,W8030,350,78,36,15,2025-09-20
I309,P7911,W7875,50,180,90,14,2026-05-23
I310,P2043,W7626,348,169,53,2,2026-02-14
I311,P8571,W8022,481,102,36,10,2026-04-29
I312,P167,W8713,73,106,74,15,2026-04-19
I313,P8887,W3234,613,196,22,20,2026-03-17
I314,P1178,W5197,627,109,99,9,2025-06-05
I315,P2274,W9450,669,164,84,19,2026-02-19
I316,P7686,W5011,848,127,5,20,2026-05-13
I317,P8023,W1628,322,137,86,3,2025-06-10
I318,P4482,W8931,108,198,34,0,2026-02-04
I319,P7354,W6241,640,191,57,3,2025-10-29
I320,P202,W4513,205,58,47,12,2025-10-14
I321,P4409,W5688,230,200,41,1,2025-08-17
I322,P494,W3389,535,55,91,16,2026-01-06
I323,P6201,W5913,383,110,65,18,2025-11-27
I324,P3652,W1527,529,28,25,10,2026-03-24
I325,P4744,W8383,557,166,58,13,2026-03-06
I326,P9229,W9901,696,139,13,17,2025-09-20
I327,P3995,W5362,547,166,64,19,2025-08-10
I328,P9135,W4449,654,11,11,17,2026-01-16
I329,P5634,W7388,412,67,33,19,2026-04-17
I330,P7880,W8237,973,184,60,1,2026-03-13
I331,P5039,W6290,652,187,45,19,2026-04-28
I332,P4881,W4362,430,11,19,12,2026-04-23
I333,P5342,W3422,877,62,88,2,2025-12-25
I334,P9639,W9718,820,140,36,15,2025-07-31
I335,P2678,W2086,144,42,62,14,2025-11-12
I336,P8460,W4299,654,194,14,15,2026-05-10
I337,P2082,W8885,115,173,50,14,2025-09-17
I338,P2496,W8909,53,103,10,14,2025-07-03
I339,P5857,W4145,924,155,79,6,2025-10-15
I340,P7122,W7254,190,46,22,11,2026-01-30
I341,P3424,W9463,266,47,37,19,2025-12-20
I342,P5495,W4030,57,18,23,11,2025-06-14
I343,P3201,W79,782,180,12,8,2025-08-05
I344,P410,W7736,533,120,5,8,2025-11-24
I345,P4334,W9416,947,100,96,7,2025-09-06
I346,P511,W8460,509,27,73,17,2025-05-28
I347,P8764,W7187,541,112,21,14,2026-02-06
I348,P8972,W199,128,151,48,10,2025-07-20
I349,P9753,W4085,336,62,89,0,2025-06-16
I350,P9402,W5292,402,65,88,13,2026-04-09
I351,P4215,W6532,574,80,52,13,2025-09-11
I352,P6640,W1684,84,34,10,8,2026-01-03
I353,P3550,W2359,612,25,100,17,2026-03-06
I354,P7192,W263,703,166,8,20,2025-06-22
I355,P8681,W1407,628,102,31,20,2025-08-10
I356,P6759,W4592,767,197,95,2,2026-05-07
I357,P4437,W2494,72,19,82,9,2026-01-06
I358,P6049,W4575,953,56,82,1,2026-03-08
I359,P7522,W5348,616,13,19,12,2025-06-16
I360,P5784,W1667,663,101,31,12,2025-08-09
I361,P8975,W6011,948,115,68,15,2025-11-01
I362,P431,W9969,639,185,25,15,2025-07-19
I363,P6819,W6198,167,14,8,10,2025-08-22
I364,P5755,W9975,46,186,67,3,2026-03-04
I365,P9775,W4914,636,54,56,0,2025-06-27
I366,P5169,W702,8,187,53,7,2025-10-31
I367,P6989,W3127,952,33,44,6,2025-11-06
I368,P4362,W9800,905,76,57,13,2026-05-14
I369,P9178,W9271,819,127,99,9,2025-07-11
I370,P4091,W8909,770,160,31,12,2026-05-07
I371,P7377,W8603,70,82,9,10,2025-07-28
I372,P7558,W4547,872,140,49,13,2025-09-20
I373,P9935,W792,897,173,48,18,2026-03-19
I374,P3903,W5421,271,141,15,15,2026-01-02
I375,P475,W2845,449,76,80,18,2025-11-04
I376,P1068,W447,738,41,54,19,2026-01-20
I377,P5499,W3883,742,194,96,17,2026-03-13
I378,P7259,W8708,856,198,54,6,2025-08-02
I379,P2382,W6573,747,106,81,20,2025-12-28
I380,P7504,W6994,686,181,27,2,2025-06-21
I381,P239,W7987,467,74,48,14,2025-10-17
I382,P3120,W5415,286,79,43,5,2026-05-25
I383,P6307,W1436,825,154,49,11,2026-02-23
I384,P9023,W4411,184,65,15,15,2025-11-07
I385,P6334,W1935,763,191,53,9,2025-11-13
I386,P5503,W2372,961,137,96,18,2025-09-11
I387,P5284,W4746,159,161,63,2,2025-10-22
I388,P4229,W5985,748,136,99,16,2025-10-23
I389,P5526,W7336,919,69,40,13,2025-11-13
I390,P3925,W29,275,41,31,20,2025-07-19
I391,P8683,W9252,950,129,32,9,2025-10-06
I392,P6704,W4593,963,21,46,7,2025-08-24
I393,P2545,W457,818,81,51,1,2025-09-11
I394,P3414,W5307,778,89,76,12,2025-07-30
I395,P5703,W7915,183,93,27,19,2025-09-15
I396,P8917,W503,386,92,90,16,2025-11-11
I397,P7732,W1769,186,93,55,6,2025-07-04
I398,P539,W7025,453,33,13,5,2026-05-11
I399,P2043,W2998,19,141,91,0,2025-12-13
I400,P6055,W6816,801,73,41,5,2026-05-17
I401,P2403,W8777,909,185,73,5,2026-05-26
I402,P4573,W5814,257,10,45,1,2025-12-24
I403,P6314,W1956,72,131,83,3,2026-03-14
I404,P6269,W506,612,139,63,5,2026-04-18
I405,P6591,W5724,855,102,26,9,2025-06-12
I406,P1777,W5773,978,63,76,3,2025-08-19
I407,P1647,W3321,89,147,37,5,2025-07-29
I408,P8689,W4699,722,197,17,9,2026-04-22
I409,P3141,W6970,658,44,26,18,2025-06-09
I410,P4048,W9620,881,42,90,0,2025-10-13
I411,P5750,W2006,111,89,30,20,2026-02-19
I412,P1962,W4152,524,120,12,18,2026-03-23
I413,P9771,W5449,951,28,41,6,2025-07-27
I414,P1352,W9795,797,161,75,0,2025-06-13
I415,P4563,W905,786,30,9,15,2025-06-29
I416,P9387,W2030,124,114,75,8,2025-07-07
I417,P3338,W8325,340,199,48,8,2025-09-11
I418,P6684,W6219,617,96,93,8,2025-07-05
I419,P688,W9095,864,79,62,0,2026-01-01
I420,P224,W2976,39,104,71,2,2026-05-02
I421,P5778,W3936,884,102,94,1,2026-01-27
I422,P3116,W6818,523,195,98,1,2025-12-16
I423,P7933,W5287,754,58,15,3,2025-10-27
I424,P9774,W760,901,181,12,2,2025-11-25
I425,P9747,W5903,216,161,35,4,2025-08-14
I426,P5489,W4311,279,95,82,2,2025-07-28
I427,P3043,W1259,316,129,30,2,2026-02-16
I428,P2335,W4593,647,39,99,19,2025-07-01
I429,P7788,W5490,898,76,80,5,2026-02-28
I430,P4752,W4336,848,177,54,10,2025-09-08
I431,P3002,W2761,365,133,51,11,2026-01-25
I432,P9198,W5420,974,64,6,7,2025-12-20
I433,P2845,W9579,302,43,52,20,2026-03-09
I434,P2724,W2566,504,53,33,17,2026-01-02
I435,P2614,W49,122,27,36,10,2025-08-16
I436,P3113,W1679,454,34,33,6,2025-10-14
I437,P8008,W4172,312,165,53,10,2025-07-02
I438,P4673,W4228,299,32,29,19,2025-11-23
I439,P7870,W9945,688,174,24,1,2026-02-14
I440,P7348,W3807,229,49,20,9,2026-02-21
I441,P2280,W8664,127,147,34,18,2026-03-24
I442,P592,W5681,366,163,71,1,2026-01-20
I443,P3613,W3347,219,94,44,18,2025-08-15
I444,P2350,W3434,287,105,86,3,2026-02-04
I445,P953,W4662,793,117,52,13,2025-08-07
I446,P9236,W6836,703,111,6,11,2025-07-17
I447,P1323,W9518,93,98,45,18,2025-07-12
I448,P5333,W3136,953,191,38,5,2026-05-19
I449,P5538,W9766,218,32,62,17,2025-05-29
I450,P5097,W6987,448,200,67,6,2026-01-26
I451,P9421,W6751,896,135,76,3,2026-02-28
I452,P7676,W3845,597,51,90,4,2025-11-20
I453,P3132,W6318,729,170,25,16,2026-03-21
I454,P4772,W7395,428,155,27,16,2026-04-02
I455,P5482,W2445,848,171,22,1,2025-08-21
I456,P6014,W1688,521,81,8,1,2025-08-26
I457,P4027,W9493,558,61,15,7,2026-01-09
I458,P8468,W2360,770,36,33,7,2026-05-13
I459,P6155,W4715,129,38,75,15,2025-12-22
I460,P9784,W295,212,139,91,19,2025-12-26
I461,P6196,W5597,510,96,8,8,2025-07-23
I462,P4657,W5594,806,156,73,15,2025-05-30
I463,P6393,W3022,11,27,98,14,2026-04-17
I464,P8370,W9925,583,17,67,18,2025-10-29
I465,P2047,W8498,327,191,27,3,2026-04-27
I466,P9914,W6794,241,96,56,0,2025-12-31
I467,P2267,W8396,979,124,26,3,2026-03-17
I468,P2451,W9992,772,164,22,6,2025-07-16
I469,P1178,W6517,751,20,62,9,2026-05-15
I470,P95,W220,211,168,8,2,2025-08-11
I471,P7599,W6669,312,21,44,11,2026-03-05
I472,P8185,W5310,487,87,48,20,2026-04-21
I473,P8876,W1853,967,122,17,13,2025-07-14
I474,P2620,W5997,848,51,53,0,2026-04-15
I475,P7911,W8079,280,55,84,18,2025-05-29
I476,P3528,W2351,782,70,18,12,2025-07-02
I477,P9925,W4973,243,121,79,0,2025-06-23
I478,P3067,W7691,670,77,12,4,2025-08-28
I479,P2964,W8456,661,37,78,13,2026-01-04
I480,P5558,W6983,873,14,67,14,2025-07-06
I481,P4764,W250,521,56,35,2,2025-11-04
I482,P7006,W3770,678,75,84,5,2026-04-28
I483,P1897,W8325,689,22,67,10,2025-10-18
I484,P4116,W2954,350,181,26,13,2025-08-08
I485,P1905,W9239,117,85,54,9,2025-06-01
I486,P2712,W747,577,73,9,8,2026-05-09
I487,P4376,W8016,330,17,52,19,2026-04-24
I488,P9082,W4015,7,108,21,5,2026-02-24
I489,P9049,W7411,765,175,16,12,2025-10-09
I490,P6858,W7618,632,22,76,20,2025-10-23
I491,P6528,W7694,239,101,83,18,2025-12-03
I492,P8155,W9318,389,46,95,6,2026-04-08
I493,P626,W2646,958,96,61,7,2025-11-27
I494,P7429,W3148,339,165,99,3,2025-08-11
I495,P2377,W6563,187,44,39,14,2026-01-12
I496,P5729,W5529,397,39,12,4,2026-01-25
I497,P8770,W6907,480,193,40,15,2026-05-01
I498,P7386,W6359,896,87,91,6,2026-02-10
I499,P7074,W8735,838,104,97,18,2025-08-05
I500,P5634,W7029,629,39,6,10,2025-09-22
I501,P9537,W5867,169,67,39,3,2025-12-02
I502,P8195,W2315,743,11,45,4,2025-10-30
I503,P4822,W9392,949,93,48,14,2025-07-21
I504,P3527,W9595,973,79,86,10,2025-10-09
I505,P9573,W8331,216,45,82,10,2025-06-15
I506,P1764,W4298,470,146,13,20,2025-07-28
I507,P4432,W2861,316,144,58,9,2026-03-30
I508,P1319,W6512,925,31,5,8,2025-10-24
I509,P268,W6218,44,28,51,0,2026-02-22
I510,P9978,W8568,651,57,19,4,2026-03-21
I511,P1220,W5248,863,79,75,4,2026-02-16
I512,P6941,W6901,840,165,72,3,2026-04-05
I513,P4839,W5822,510,105,84,2,2026-02-27
I514,P713,W445,557,151,43,3,2025-06-19
I515,P8242,W8245,74,39,59,3,2026-01-05
I516,P7521,W3627,291,86,10,15,2026-02-01
I517,P9237,W5213,610,12,23,7,2025-09-05
I518,P9605,W8785,404,76,94,12,2025-07-30
I519,P4878,W9035,894,44,44,4,2025-07-05
I520,P3016,W3046,622,114,63,7,2025-11-12
I521,P2628,W4932,357,29,28,10,2025-08-06
I522,P2122,W5533,403,164,71,8,2026-02-18
I523,P8724,W2828,403,181,79,2,2025-07-03
I524,P4720,W6855,344,10,87,18,2026-05-03
I525,P4007,W5317,303,149,100,13,2026-02-23
I526,P8354,W2696,351,162,52,20,2026-03-13
I527,P8610,W4986,153,140,29,11,2026-04-10
I528,P4845,W910,790,46,67,12,2025-10-06
I529,P9381,W215,118,73,81,13,2026-04-09
I530,P896,W2894,482,93,13,1,2025-12-13
I531,P2220,W5616,358,195,61,1,2026-05-10
I532,P9544,W2616,72,169,42,15,2026-01-14
I533,P5572,W8756,57,139,95,3,2025-06-13
I534,P942,W8622,896,153,84,1,2025-12-17
I535,P6833,W5096,735,79,86,16,2026-04-17
I536,P1498,W736,486,71,69,17,2025-06-02
I537,P3650,W5435,369,128,46,4,2025-09-07
I538,P8301,W7667,502,195,65,11,2026-01-02
